BANK_EN,SAVINGSPLAN_EN,SAVINGSPROGRAMBYAGE_EN,SAVINGSPERIOD,INTERESTSDATE,YEAR,MONTH,YEAR_MONTH,RateType,RateValue,IsNegative,AvgRate_ByGroup,Delta_ByGroup
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5000,0,1.5083,3.3000
Discount,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2000,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.0000,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.1000,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.4000,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.4500,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5500,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8300,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.0000,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.9000,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,17 Y -18 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,2.6615,0.2000
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5000,0,1.5083,3.3000
